                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.281,                 3.1628,                 1.5837,                0.26745,                0.30198,                0.19638,                0.08426,                 1.4763,                 3.6827,                 1.9387,             0.00036293,             0.00036293,             0.00036293
                      2,                 1.1535,                 2.5766,                 1.4655,                0.31301,                0.36916,                0.28335,                0.14202,                 1.7479,                 3.3649,                 2.0811,             0.00071874,             0.00071874,             0.00071874
                      3,                  1.164,                 2.3964,                 1.4293,                0.51803,                0.47618,                0.53804,                0.32345,                 1.4441,                 3.1278,                  1.867,              0.0010599,              0.0010599,              0.0010599
                      4,                 1.1346,                 2.2099,                 1.4152,                0.51256,                0.36502,                0.31163,                0.16778,                 1.7554,                 4.2247,                  2.312,               0.001045,               0.001045,               0.001045
                      5,                  1.126,                 2.0914,                 1.3921,                0.54159,                 0.6247,                0.58491,                0.31592,                 1.4967,                  2.767,                 1.9573,               0.001023,               0.001023,               0.001023
                      6,                 1.0844,                 1.9723,                 1.3712,                0.59695,                0.56012,                0.63048,                0.41224,                 1.3693,                 2.5239,                 1.8912,               0.001001,               0.001001,               0.001001
                      7,                 1.0924,                 1.8971,                 1.3711,                0.72445,                0.55375,                0.70253,                0.40406,                 1.5747,                 2.2564,                 1.9998,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.0568,                 1.7864,                 1.3343,                0.72964,                0.74768,                0.83407,                0.52551,                 1.3501,                 1.7058,                 1.7894,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.0464,                 1.7425,                 1.3352,                0.74839,                0.67164,                0.77872,                 0.4358,                 1.5143,                 1.8813,                 1.7985,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.0133,                 1.6459,                 1.2984,                0.77266,                0.67971,                  0.814,                0.45351,                 1.5089,                 1.7723,                 1.8241,             0.00091302,             0.00091302,             0.00091302
                     11,                0.99676,                 1.6081,                 1.2936,                0.76828,                0.73465,                0.82114,                0.49957,                 1.3494,                  1.509,                 1.6865,             0.00089102,             0.00089102,             0.00089102
                     12,                0.97824,                 1.5425,                 1.2857,                0.81235,                0.67692,                0.74714,                0.43799,                 1.4583,                 1.6332,                 1.8176,             0.00086902,             0.00086902,             0.00086902
                     13,                0.97307,                 1.5061,                 1.2707,                0.75339,                 0.7876,                0.88464,                0.55592,                   1.28,                 1.4551,                 1.6379,             0.00084703,             0.00084703,             0.00084703
                     14,                0.96222,                 1.4729,                 1.2659,                0.86681,                0.84401,                0.91943,                0.57697,                 1.4163,                 1.1092,                 1.8071,             0.00082503,             0.00082503,             0.00082503
                     15,                0.93796,                  1.392,                 1.2488,                0.79292,                0.81832,                0.89874,                0.58522,                 1.2211,                 1.1748,                 1.5735,             0.00080303,             0.00080303,             0.00080303
                     16,                0.91262,                  1.326,                  1.221,                0.82423,                0.72792,                0.83501,                0.53104,                 1.3532,                 1.2751,                 1.7484,             0.00078103,             0.00078103,             0.00078103
                     17,                0.89674,                  1.347,                 1.2236,                0.82498,                0.79604,                0.87112,                0.58215,                 1.1984,                 1.1946,                 1.6417,             0.00075904,             0.00075904,             0.00075904
                     18,                 0.8882,                 1.2567,                  1.203,                0.85094,                0.75777,                0.86596,                0.54518,                 1.3216,                 1.1161,                 1.6471,             0.00073704,             0.00073704,             0.00073704
                     19,                0.88555,                 1.2515,                 1.1994,                0.78545,                0.79673,                0.84594,                0.54094,                 1.3171,                 1.3091,                 1.6602,             0.00071504,             0.00071504,             0.00071504
                     20,                 0.8582,                 1.2332,                 1.2038,                 0.8197,                0.84785,                  0.906,                0.59302,                 1.1649,                 1.1471,                 1.5078,             0.00069304,             0.00069304,             0.00069304
                     21,                0.86993,                 1.2288,                 1.2012,                0.84596,                 0.8372,                0.90375,                0.58673,                 1.2596,                0.89415,                 1.6221,             0.00067104,             0.00067104,             0.00067104
                     22,                0.85766,                 1.1907,                 1.1861,                0.79645,                0.90566,                0.92999,                0.64148,                 1.1448,                0.90025,                  1.438,             0.00064905,             0.00064905,             0.00064905
                     23,                0.83455,                 1.1348,                 1.1705,                 0.9242,                0.87036,                0.94575,                 0.6324,                  1.221,                 0.9081,                 1.5441,             0.00062705,             0.00062705,             0.00062705
                     24,                0.80926,                 1.1166,                   1.17,                0.82847,                0.87686,                0.91294,                0.57194,                 1.3796,                 0.9442,                 1.6799,             0.00060505,             0.00060505,             0.00060505
                     25,                 0.8242,                 1.1127,                 1.1756,                0.85984,                0.90625,                0.95693,                0.64297,                 1.1982,                0.84175,                 1.5581,             0.00058305,             0.00058305,             0.00058305
                     26,                0.81187,                 1.0898,                 1.1624,                0.82721,                0.93225,                0.92058,                0.63613,                 1.1669,                0.84628,                  1.533,             0.00056105,             0.00056105,             0.00056105
                     27,                0.78583,                 1.0483,                 1.1398,                0.92656,                0.86944,                0.94888,                0.65409,                 1.1117,                0.86206,                 1.4497,             0.00053906,             0.00053906,             0.00053906
                     28,                0.78788,                 1.0369,                 1.1472,                0.86165,                0.92845,                0.93922,                0.62146,                  1.226,                0.91514,                 1.5703,             0.00051706,             0.00051706,             0.00051706
                     29,                0.80038,                 1.0475,                 1.1544,                0.94978,                0.88389,                 0.9486,                0.65476,                 1.1477,                0.79895,                 1.4973,             0.00049506,             0.00049506,             0.00049506
                     30,                0.77956,                0.98047,                 1.1376,                0.89964,                0.92408,                 0.9703,                0.66577,                  1.116,                0.69444,                  1.471,             0.00047306,             0.00047306,             0.00047306
                     31,                0.73886,                0.96539,                 1.1168,                0.84639,                0.96959,                0.94652,                0.62211,                 1.2126,                0.77785,                 1.5787,             0.00045107,             0.00045107,             0.00045107
                     32,                0.75052,                0.98245,                 1.1242,                0.88689,                0.97414,                0.98604,                0.69346,                  1.081,                 0.6517,                 1.4363,             0.00042907,             0.00042907,             0.00042907
                     33,                0.75009,                0.96166,                 1.1138,                0.89867,                 0.9153,                0.94161,                0.65249,                 1.1206,                0.71222,                 1.4888,             0.00040707,             0.00040707,             0.00040707
                     34,                0.73543,                0.92106,                 1.1127,                0.85321,                0.91089,                0.94435,                0.66352,                 1.0796,                0.79185,                 1.4667,             0.00038507,             0.00038507,             0.00038507
                     35,                0.72381,                0.88409,                 1.1043,                0.86271,                0.90786,                  0.919,                0.62594,                 1.0871,                0.68324,                 1.4607,             0.00036307,             0.00036307,             0.00036307
                     36,                 0.7019,                0.87704,                 1.0867,                0.90753,                0.95772,                0.96801,                0.64067,                 1.2314,                 0.6923,                  1.599,             0.00034108,             0.00034108,             0.00034108
                     37,                0.69934,                0.86861,                 1.0923,                0.90627,                0.93031,                0.95267,                 0.6402,                   1.17,                0.72961,                 1.5684,             0.00031908,             0.00031908,             0.00031908
                     38,                0.70356,                0.86194,                 1.0951,                0.93916,                 0.9251,                0.96324,                0.67795,                 1.0945,                0.63953,                 1.4526,             0.00029708,             0.00029708,             0.00029708
                     39,                 0.6967,                0.84597,                 1.0896,                0.90578,                0.96515,                0.94818,                0.64324,                 1.0869,                0.64523,                 1.4496,             0.00027508,             0.00027508,             0.00027508
                     40,                0.68118,                0.83716,                 1.0818,                0.90933,                 0.9503,                0.95842,                0.66057,                 1.0286,                 0.6631,                 1.4297,             0.00025309,             0.00025309,             0.00025309
                     41,                0.63495,                0.69906,                 1.0618,                0.91126,                0.92255,                 0.9518,                0.67542,                 1.0397,                0.71699,                 1.4382,             0.00023109,             0.00023109,             0.00023109
                     42,                0.62642,                0.64402,                 1.0541,                0.92528,                 0.9468,                0.95095,                0.68744,                 1.0175,                 0.7055,                 1.4154,             0.00020909,             0.00020909,             0.00020909
                     43,                0.59455,                0.62047,                 1.0457,                0.93127,                 0.9746,                0.97474,                0.69689,                 1.0745,                0.62848,                 1.4955,             0.00018709,             0.00018709,             0.00018709
                     44,                0.57919,                 0.5843,                 1.0269,                0.92749,                0.93996,                 0.9732,                0.70194,                 1.0229,                0.60795,                 1.4351,             0.00016509,             0.00016509,             0.00016509
                     45,                 0.5704,                0.54885,                 1.0127,                0.92811,                0.95847,                0.96981,                0.68051,                 1.0578,                0.59992,                 1.4787,              0.0001431,              0.0001431,              0.0001431
                     46,                0.56034,                0.55047,                 1.0138,                0.91784,                0.95254,                0.97265,                0.70323,                 1.0048,                0.59289,                 1.4168,              0.0001211,              0.0001211,              0.0001211
                     47,                0.56003,                0.54169,                 1.0191,                0.91774,                0.97928,                0.97074,                0.68138,                 1.0537,                0.58552,                 1.4624,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.55445,                0.54411,                 1.0046,                0.94854,                0.95054,                0.97389,                0.69835,                 1.0317,                0.57925,                 1.4409,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 0.5299,                 0.5139,                 1.0009,                0.92543,                0.97339,                0.97777,                0.70453,                  1.021,                0.57533,                  1.441,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.52801,                0.50831,                0.99221,                0.92343,                0.96899,                0.97245,                0.70085,                 1.0214,                0.58249,                 1.4467,             3.3108e-05,             3.3108e-05,             3.3108e-05
